"CERT","NAMEFULL","BRNUM","ADDRESBR","NAMEBR","BRSERTYP","BRCENM","CITYBR","CITY2BR","CSANAMBR","CSABR","CONSOLD","CNTYNAMB","CNTYNUMB","DEPSUMBR","USA","CNTRYNAB","BKMO","METROBR","CBSA_DIV_NAMB","DIVISIONB","MSANAMB","MSABR","MICROBR","NECNAMB","NECTABR","PLACENUM","SIMS_ACQUIRED_DATE","SIMS_DESCRIPTION","SIMS_ESTABLISHED_DATE","SIMS_LATITUDE","SIMS_LONGITUDE","SIMS_PROJECTION","STCNTYBR","STALPBR","STNAMEBR","STNUMBR","UNINUMBR","ZIPBR"
"628","JPMorgan Chase Bank, National Association","5814","  1711 S 25th East","  Idaho Falls - Ammon Branch","11","","  Ammon","Idaho Falls","Idaho Falls-Rexburg-Blackfoot, ID","292","","Bonneville","19","42869","1","  United States","0","1","","0","Idaho Falls, ID","26820","0","","0","0","2008-09-25","StreetAddress","1961-01-01","                       43.481900","                     -111.984400","100","16019","ID","Idaho","16","44093","83406"
"628","JPMorgan Chase Bank, National Association","5836","  1018 Blaine St","  Caldwell Branch","11","","  Caldwell","Caldwell","Boise City-Mountain Home-Ontario, ID-OR","147","","Canyon","27","32601","1","  United States","0","1","","0","Boise City, ID","14260","0","","0","0","2008-09-25","PointAddress","1998-06-29","                       43.662800","                     -116.686300","100","16027","ID","Idaho","16","220559","83605"
"628","JPMorgan Chase Bank, National Association","5837","  290 North Second Ave East","  Mountain Home Branch","11","","  Mountain Home","Mountain Home","Boise City-Mountain Home-Ontario, ID-OR","147","","Elmore","39","26826","1","  United States","0","0","","0","","0","1","","0","0","2008-09-25","PointAddress","1998-06-30","                       43.132700","                     -115.694100","90.92","16039","ID","Idaho","16","220561","83647"
"628","JPMorgan Chase Bank, National Association","5869","  468 S. Rivershore Lane","  Eagle Financial Center Branch","11","","  Eagle","Eagle","Boise City-Mountain Home-Ontario, ID-OR","147","","Ada","1","116893","1","  United States","0","1","","0","Boise City, ID","14260","0","","0","0","2008-09-25","M","2000-07-10","                       43.690000","                     -116.355300","100","16001","ID","Idaho","16","357082","83616"
"628","JPMorgan Chase Bank, National Association","5870","  3550 West State Street","  Boise State St Financial Ctr Branch","11","","  Boise","Boise","Boise City-Mountain Home-Ontario, ID-OR","147","","Ada","1","30882","1","  United States","0","1","","0","Boise City, ID","14260","0","","0","0","2008-09-25","PointAddress","2000-07-17","                       43.639000","                     -116.232900","100","16001","ID","Idaho","16","357084","83703"
"628","JPMorgan Chase Bank, National Association","5872","  6490 S. Federal Way","  Columbia Marketplace Branch","11","","  Boise","Boise","Boise City-Mountain Home-Ontario, ID-OR","147","","Ada","1","41239","1","  United States","0","1","","0","Boise City, ID","14260","0","","0","0","2008-09-25","M","1999-11-29","                       43.542900","                     -116.155700","US_RoofTop","16001","ID","Idaho","16","358331","83716"
"628","JPMorgan Chase Bank, National Association","5880","  800 Yellowstone Ave","  Pocatello Branch","12","","  Pocatello","Pocatello","","0","","Bannock","5","18512","1","  United States","0","1","","0","Pocatello, ID","38540","0","","0","0","2008-09-25","M","2000-11-01","                       42.889500","                     -112.451300","US_Streets","16005","ID","Idaho","16","361111","83201"
"628","JPMorgan Chase Bank, National Association","5890","  5120 W Franklin Road","  Boise-Franklin Financial Center Branch","11","","  Boise","Boise","Boise City-Mountain Home-Ontario, ID-OR","147","","Ada","1","14861","1","  United States","0","1","","0","Boise City, ID","14260","0","","0","0","2008-09-25","M","2001-10-19","                       43.602800","                     -116.245000","100","16001","ID","Idaho","16","363958","83705"
"628","JPMorgan Chase Bank, National Association","5895","  2423 Apple Street","  Eastgate Financial Center Branch","11","","  Boise","Boise","Boise City-Mountain Home-Ontario, ID-OR","147","","Ada","1","50570","1","  United States","0","1","","0","Boise City, ID","14260","0","","0","0","2008-09-25","M","2002-09-30","                       43.581100","                     -116.173300","US_RoofTop","16001","ID","Idaho","16","365042","83706"
"628","JPMorgan Chase Bank, National Association","6715","  5425 Chinden Boulevard","  Glenwood Fred Meyer Branch","11","","  Garden City","Garden City","Boise City-Mountain Home-Ontario, ID-OR","147","","Ada","1","29580","1","  United States","0","1","","0","Boise City, ID","14260","0","","0","0","2008-09-25","PointAddress","1994-07-18","                       43.646500","                     -116.276600","92.43","16001","ID","Idaho","16","264970","83714"
"628","JPMorgan Chase Bank, National Association","6716","  50 Second Street South","  Nampa Branch","11","","  Nampa","Nampa","Boise City-Mountain Home-Ontario, ID-OR","147","","Canyon","27","33511","1","  United States","0","1","","0","Boise City, ID","14260","0","","0","0","2008-09-25","M","1994-07-18","                       43.587400","                     -116.575500","US_Streets","16027","ID","Idaho","16","264971","83651"
"628","JPMorgan Chase Bank, National Association","6717","  10751 West Overland Road, #d","  Five Mile Fred Meyer Branch","11","","  Boise","Boise","Boise City-Mountain Home-Ontario, ID-OR","147","","Ada","1","43618","1","  United States","0","1","","0","Boise City, ID","14260","0","","0","0","2008-09-25","PointAddress","1994-08-03","                       43.589400","                     -116.316200","100","16001","ID","Idaho","16","264972","83709"
"628","JPMorgan Chase Bank, National Association","6718","  1790 West Pullman Road","  Moscow Branch","11","","  Moscow","Moscow","Pullman-Moscow, WA-ID","446","","Latah","57","32579","1","  United States","0","0","","0","","0","1","","0","0","2008-09-25","M","1995-02-27","                       46.732600","                     -117.027000","US_Streets","16057","ID","Idaho","16","264975","83843"
"628","JPMorgan Chase Bank, National Association","6724","  175 North Capitol","  Capitol Plaza Branch","11","","  Boise","Boise","Boise City-Mountain Home-Ontario, ID-OR","147","","Ada","1","45551","1","  United States","0","1","","0","Boise City, ID","14260","0","","0","0","2008-09-25","PointAddress","1996-06-10","                       43.615600","                     -116.202000","90.92","16001","ID","Idaho","16","290171","83702"
"628","JPMorgan Chase Bank, National Association","6725","  1850 East Fairview Avenue","  Meridian Branch","11","","  Meridian","Meridian","Boise City-Mountain Home-Ontario, ID-OR","147","","Ada","1","50393","1","  United States","0","1","","0","Boise City, ID","14260","0","","0","0","2008-09-25","M","1996-06-01","                       43.619400","                     -116.372300","US_RoofTop","16001","ID","Idaho","16","290172","83642"
"628","JPMorgan Chase Bank, National Association","6728","  560 West Kathleen Avenue, Suite A","  Coeur D Alene Fred Meyer Branch","11","","  Coeur D Alene","Coeur D Alene","Spokane-Spokane Valley-Coeur d'Alene, WA-ID","518","","Kootenai","55","72636","1","  United States","0","1","","0","Coeur d'Alene, ID","17660","0","","0","0","2008-09-25","M","1997-04-23","                       47.715300","                     -116.794000","100","16055","ID","Idaho","16","290176","83815"
"628","JPMorgan Chase Bank, National Association","6729","  705 Blue Lakes Boulevard North, Suite G","  Twin Falls Fred Meyer Branch","11","","  Twin Falls","Twin Falls","","0","","Twin Falls","83","25198","1","  United States","0","0","","0","","0","1","","0","0","2008-09-25","StreetAddress","1997-01-07","                       42.574300","                     -114.460300","100","16083","ID","Idaho","16","290177","83301"
"628","JPMorgan Chase Bank, National Association","6730","  1555 Northgate Mile, Suite A","  Idaho Falls Fred Meyer Branch","11","","  Idaho Falls","Idaho Falls","Idaho Falls-Rexburg-Blackfoot, ID","292","","Bonneville","19","24260","1","  United States","0","1","","0","Idaho Falls, ID","26820","0","","0","0","2008-09-25","StreetAddress","1997-03-06","                       43.509800","                     -112.018400","100","16019","ID","Idaho","16","290178","83401"
"628","JPMorgan Chase Bank, National Association","6731","  373 North Milwaukee Street","  Boise Towne Square Branch","11","","  Boise","Boise","Boise City-Mountain Home-Ontario, ID-OR","147","","Ada","1","33051","1","  United States","0","1","","0","Boise City, ID","14260","0","","0","0","2008-09-25","PointAddress","1997-09-08","                       43.608100","                     -116.284500","100","16001","ID","Idaho","16","290179","83704"
"628","JPMorgan Chase Bank, National Association","7625","  1400 West Chinden Boulevard","  Eagle Island Fred Meyer Branch","12","","  Meridian","Meridian","Boise City-Mountain Home-Ontario, ID-OR","147","","Ada","1","34577","1","  United States","0","1","","0","Boise City, ID","14260","0","","0","0","","M","2012-06-22","                       43.662900","                     -116.411000","100","16001","ID","Idaho","16","532637","83646"
"1237","Ireland Bank","0","  33 Bannock Street","  Ireland Bank","11","M  ","  Malad City","Malad City","","0","","Oneida","71","33263","1","  United States","1","0","","0","","0","0","","0","0","","M","1892-12-01","                       42.187700","                     -112.248900","US_Streets","16071","ID","Idaho","16","847","83252"
"1237","Ireland Bank","1","  85 East Oneida","  Preston Branch","11","","  Preston","Preston","","0","","Franklin","41","19649","1","  United States","0","1","","0","Logan, UT-ID","30860","0","","0","0","","M","1981-10-19","                       42.096200","                     -111.874400","US_Streets","16041","ID","Idaho","16","189015","83263"
"1237","Ireland Bank","2","  17 East Center Street","  Downey Branch","11","","  Downey","Downey","","0","","Bannock","5","14874","1","  United States","0","1","","0","Pocatello, ID","38540","0","","0","0","1986-11-01","POINTADDRESS","1910-09-01","                       42.428700","                     -112.123900","100","16005","ID","Idaho","16","7451","83234"
"1237","Ireland Bank","3","  Main Street And Highway 30","  Inkom Branch","11","","  Inkom","Inkom","","0","","Bannock","5","9171","1","  United States","0","1","","0","Pocatello, ID","38540","0","","0","0","1986-11-01","M","1980-04-01","                       42.793300","                     -112.252400","US_Streets","16005","ID","Idaho","16","225440","83245"
"1237","Ireland Bank","4","  98 West Second South","  Soda Springs Branch","11","","  Soda Springs","Soda Springs","","0","","Caribou","29","17779","1","  United States","0","0","","0","","0","0","","0","0","1991-11-08","M","1976-10-27","                       42.654800","                     -111.606500","US_Streets","16029","ID","Idaho","16","252773","83276"
"1237","Ireland Bank","5","  1 North Main","  Grace Branch","11","","  Grace","Grace","","0","","Caribou","29","13615","1","  United States","0","0","","0","","0","0","","0","0","1991-11-08","M","1980-10-27","                       42.577400","                     -111.730300","US_Streets","16029","ID","Idaho","16","252774","83241"
"1237","Ireland Bank","6","  110 Main Street","  Lava Hot Springs Branch","11","","  Lava Hot Springs","Lava Hot Springs","","0","","Bannock","5","7362","1","  United States","0","1","","0","Pocatello, ID","38540","0","","0","0","1991-11-08","T","1986-07-11","                       42.619200","                     -112.013700","US_Streets","16005","ID","Idaho","16","252777","83246"
"1237","Ireland Bank","7","  2715 Pole Line Road","  Pocatello Branch","11","","  Pocatello","Pocatello","","0","","Bannock","5","16625","1","  United States","0","1","","0","Pocatello, ID","38540","0","","0","0","","M","1995-11-01","                       42.887300","                     -112.466200","US_Streets","16005","ID","Idaho","16","189016","83201"
